No    | English        | Vietnamese     
239   | award          | phầnthưởng; tặng,thưởng
240   | aware          | biết, nhận thức, nhận thức thấy
241   | away           | xa, xa cách, rời xa, đi xa
242   | awful          | oai nghiêm, dễ sợ
243   | awfully        | tàn khốc, khủng khiếp
244   | awkward        | vụng về, lung túng
245   | awkwardly      | vụng về, lung túng
246   | back           | lưng, sau, về phía sau, trở lại
247   | background     | phía sau; nền  
248   | backward       | về phía sau, lùi lại
249   | backwards      | ngược          
250   | bacteria       | vi khuẩn       
251   | bad            | xấu, tồi. go bad bẩn thỉu, thối, hỏng
252   | badly          | xấu, tồi       
253   | bag            | bao, túi, cặp xách
254   | baggage        | hành lý        
255   | bake           | nung, nướng bằng lò
256   | balance        | cái cân; làm cho cân bằng, tương xứng
257   | ball           | quả bóng       
258   | ban            | cấm, cấm chỉ; sự cấm
259   | band           | băng, đai, nẹp 
260   | bandage        | dải băng; băng bó
261   | bank           | bờ (sông…) , đê
262   | bar            | quán bán rượu  
263   | bargain        | sự mặc cả, sự giao kèo mua bán
264   | barrier        | đặt chướng ngại vật
265   | base           | cơsở,cơbản,nềnmóng;đặttên,đặt cơ sởtrêncáigì.based on dựatrên
266   | basic          | cơ bản, cơ sở  
267   | basically      | cơ bản, về cơ bản
268   | basis          | nền tảng, cơ sở
269   | bath           | sự tắm         
270   | bathroom       | buồng tắm, nhà vệ sinh
271   | battery        | pin, ắc quy    
272   | battle         | trận đánh, chiến thuật
273   | bay            | gian(nhà),nhịp(cầu),chuồng(ngựa); bays:vòngnguyệtquế, vịnh
274   | beach          | bãi biển       
275   | beak           | mỏ chim        
276   | bear           | mang, cầm, vác, đeo, ôm
277   | beard          | râu            
278   | beat           | tiếngđập, sự đập;đánhđập,đấm
279   | beautiful      | đẹp            
280   | beautifully    | tốt đẹp, đáng hài lòng
281   | beauty         | vẻ đẹp, cái đẹp; người đẹp
282   | because        | bởi vì, vì. because of prep. vì, do bởi
283   | become         | trở thành, trở nên
284   | bed            | cái giường     
285   | bedroom        | phòng ngủ      
286   | beef           | thịt bò        
287   | beer           | rượu bia       
288   | before         | trước, đằng trước
289   | begin          | bắt đầu, khởi đầu
290   | beginning      | phần đầu, lúc bắt đầu, lúc khởi đầu
291   | behalf         | sự thay mặt    
292   | behave         | đối xử, ăn ở, cư xử
293   | behaviour      | thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức
294   | behind         | sau, ở đằng sau
295   | belief         | lòng tin, đức tin, sự tin tưởng
296   | believe        | tin, tin tưởng 
297   | bell           | cái chuông, tiếng chuông
298   | belong         | thuộc về, của, thuộc quyền sở hữu
299   | below          | ở dưới, dưới thấp, phía dưới
300   | belt           | dây lưng, thắt lưng
301   | bend           | chỗ rẽ, chỗ uốn; khuỷu tay; cúi xuống, uốn cong
302   | beneath        | ở dưới, dưới thấp
303   | benefit        | lợi, lợi ích; giúp ích, làm lợi cho
304   | bent           | khiếu, sở thích, khuynh hướng
305   | beside         | bên cạnh, so với
306   | best           | tốt nhất       
307   | bet            | đánh cuộc, cá cược; sự đánh cuộc
308   | better         | tốt hơn        
309   | betting        | sự đánh cuộc   
310   | between        | giữa, ở giữa   
311   | beyond         | ở xa, phía bên kia
312   | bicycle        | xe đạp         
313   | bid            | đặt giá, trả giá; sự đặt giá, sự trả giá
314   | big            | to, lớn        
315   | bill           | hóa đơn, giấy bạc
316   | bin            | thùng, thùng đựng rượu
317   | biology        | sinh vật học   
318   | bird           | chim           
319   | birth          | sự ra đời, sự sinh đẻ
320   | birthday       | ngày sinh, sinh nhật
321   | biscuit        | bánh quy       
322   | bit            | miếng, mảnh. a bit một chút, một
323   | bite           | cắn,ngoạm;sựcắn,sựngoạm
324   | bitter         | đắng; đắng cay, chua xót
325   | bitterly       | đắng, đắng cay, chua xót
326   | black          | đen; mà        
327   | blade          | lưỡi (dao, kiếm); lá (cỏ, cây); mái (chèo); cánh (chong chóng)
328   | blame          | khiển trách, mắng trách; sự khiển trách, sự mắng trách
329   | blank          | trống, để trắng; sự trống rỗng
330   | blankly        | ngây ra, không có thần
331   | blind          | đui, mù        
332   | block          | khối, tảng (đá); làm ngăn cản, ngăn chặn
333   | blonde         | hoe vàng, mái tóc hoe vàng
334   | blood          | máu, huyết; sự tàn sát, chem giết
335   | blow           | nở hoa; sự nở hoa
336   | blue           | xanh, màu xanh 
337   | board          | tấmván;látván,lótván.on boardtrêntàuthủy
338   | boat           | tàu, thuyền    
339   | body           | thân thể, thân xác
340   | boil           | sôi, luộc      
341   | bomb           | quảbom;oánhbom,thảbom
342   | bone           | xương          
343   | book           | sách; ghi chép 
344   | boot           | giày ống       
345   | border         | bờ, mép, vỉa, lề (đường)
346   | bore           | buồn chán, buồn tẻ
347   | bored          | buồn chán      
348   | boring         | buồn chán      
349   | born           | sinh, đẻ       
350   | borrow         | vay, mượn      
351   | boss           | ông chủ, thủ trưởng
352   | both           | cả hai         
353   | bother         | làmphiền,quấyrầy,làmbựcmình
354   | bottle         | chai, lọ       
355   | bottom         | phần dưới cùng, thấp nhất; cuối, cuối cùng
356   | bowl           | cái bát        
357   | box            | hộp, thùng     
358   | boy            | con trai, thiếu niên
359   | brain          | óc não; đầu óc, trí não
360   | branch         | ngành; nhành cây, nhánh song, ngả đường
361   | brand          | nhãn (hàng hóa)
362   | brave          | gan dạ, can đảm
363   | bread          | bánh mỳ        
364   | break          | bẻgẫy,đậpvỡ;sựgãy,sựvỡ
365   | breakfast      | bữa điểm tâm, bữa sáng
366   | breast         | ngực, vú       
367   | breath         | hơi thở, hơi   
368   | breathe        | hít, thở       
369   | breathing      | sự hô hấp, sự thở
370   | breed          | nuôi dưỡng, chăm sóc, giáo dục; sinh đẻ; nòi giống
371   | brick          | gạch           
372   | bridge         | cái cầu        
373   | brief          | ngắn, gọn, vắn tắt
374   | briefly        | ngắn, gọn, vắn tắt, tóm tắt
375   | bright         | sáng, sáng chói
376   | brightly       | sáng chói, tươi
377   | brilliant      | tỏa sáng, rực rỡ, chói lọi
378   | bring          | mang, cầm , xách lại
379   | broad          | rộng           
380   | broadcast      | tung ra khắp nơi,truyền rộng rãi; phát thanh, quảng bá
381   | broadly        | rộng, rộng rãi 
382   | broken         | bị gãy, bị vỡ  
383   | brother        | anh, em trai   
384   | brown          | nâu, màu nâu   
385   | brush          | bàn chải; chải, quét
386   | bubble         | bong bóng, bọt, tăm
387   | budget         | ngân sách      
388   | build          | xây dựng       
389   | building       | sựxâydựng,côngtrìnhxâydựngtòanhà
390   | bullet         | đạn (súng trường, súng lục)
391   | bunch          | búi, chùm, bó, cụm, buồng; bầy, đàn
392   | burn           | đốt, đốt cháy, thắp, nung, thiêu
393   | burnt          | bị đốt, bị cháy, khê; rám nắng, sạm (da)
394   | burst          | nổ, nổ tung (bom, đạn); nổ, vỡ (bong bóng); háo hức
395   | bury           | chôn cất, mai táng
396   | bus            | xe buýt        
397   | bush           | bụi cây, bụi rậm
398   | business       | việc buôn bán, thương mại, kinh doanh
399   | businessman    | thương nhân    
400   | busy           | bận, bận rộn   
401   | but            | nhưng          
402   | butter         | bơ             
403   | button         | cái nút, cái khuy, cúc
404   | buy            | mua            
405   | buyer          | người mua      
406   | by             | bởi, bằng      
407   | bye            | tạm biệt       
408   | cabinet        | tủ có nhiều ngăn đựng đồ
409   | cable          | dây cáp        
410   | cake           | bánh ngọt      
411   | calculate      | tính toán      
412   | calculation    | sự tính toán   
413   | call           | gọi;tiếngkêu,tiếnggọi. becalled:đượcgọi, bịgọi
414   | calm           | yên lặng, làm dịu đi; sự yên lặng, sự êm ả
415   | calmly         | yên lặng, êm ả; bình tĩnh, điềm tĩnh
416   | camera         | máy ảnh        
417   | camp           | trại, chỗ cắm trại; cắm trại, hạ trại
418   | campaign       | chiến dịch, cuộc vận động
419   | camping        | sự cắm trại    
420   | can            | có thể; nhà tù, nhà giam, bình, ca đựng. cannot không thể
421   | cancel         | hủy bỏ, xóa bỏ 
422   | cancer         | bệnh ung thư   
423   | candidate      | người ứng cử, thí sinh, người dự thi
424   | candy          | kẹo            
425   | cap            | mũ lưỡi trai, mũ vải
426   | capable        | có tài, có năng lực; có khả năng, cả gan
427   | capacity       | năng lực, khả năng tiếp thu, năng suất
428   | capital        | thủ đô, tiền vốn; chủ yếu, chính yếu, cơ bản
429   | captain        | người cầm đầu, người chỉ huy, th lĩnh
430   | capture        | bắt giữ, bắt; sự bắt giữ, sự bị bắt
431   | car            | xe hơi         
432   | card           | thẻ, thiếp     
433   | cardboard      | bìa cứng, các tông
434   | care           | sự chăm sóc, chăm nom; chăm sóc
435   | career         | nghề nghiệp, sự nghiệp
436   | careful        | cẩn thận, cẩn trọng, biết giữ gìn
437   | carefully      | cẩn thận, chu đáo
438   | careless       | sơ suất, cầu thả
439   | carelessly     | cẩu thả, bất cẩn
440   | carpet         | tấm thảm, thảm (cỏ)
441   | carrot         | củ cà rốt      
442   | carry          | mang, vác, khuân chở
443   | case           | vỏ, ngăn, túi,trường hợp, cảnh ngộ, hoàn cảnh, tình thế
444   | cash           | tiền, tiền mặt 
445   | cast           | quăng, ném, thả, đánh gục; sự quăng, sự ném (lưới), sự thả (neo)
446   | castle         | thành trì, thành quách
447   | cat            | con mèo        
448   | catch          | bắtlấy,nắmlấy,tómlấy,chộplấy
449   | category       | hạng, loại; phạm trù
450   | cause          | nguyên nhân, nguyên do; gây ra, gây nên
451   | cd             | đĩa cd         
452   | cease          | dừng, ngưng, ngớt, thôi, hết, tạnh
453   | ceiling        | trần nhà       
454   | celebrate      | kỷ niệm, làm lễ kỷ niệm; tán dương, ca tụng
455   | celebration    | sự kỷ niệm, lễ kỷ niệm; sự tán dương, sự ca tụng
456   | cell           | ô, ngăn        
457   | cellphone      | điện thoại di động
458   | cent           | đồng xu (bằng 1/100 đô la)
459   | centimetre     | xen ti met     
460   | central        | trung tâm, ở giữa, trung ương
461   | centre         | điểm giữa, trung tâm, trung ương
462   | century        | thế kỷ         
463   | ceremony       | nghi thức, nghi lễ
464   | certain        | chắc chắn      
465   | certainly      | chắc chắn, nhất định
466   | certificate    | giấy chứng nhận, bằng, chứng ch
467   | chain          | dây, xích; xính lại, trói lại
468   | chair          | ghế            
469   | chairman       | chủ tịch, chủ tọa
470   | challenge      | sự thử thách, sự thách thức; thác thức, thử thách
471   | chamber        | buồng, phòng, buồng ngủ
472   | chance         | sự mayrủi,sựtìnhcờ,ngẫunhiên
473   | change         | thấy đổi, sự thấy đổi, sự biến đổi
474   | channel        | kênh (tv, radio), eo biển
475   | chapter        | chương (sách)  
476   | character      | tính cách, đặc tính, nhân vật
477   | characteristic | riêng, riêng biệt, đặc trưng, đặc tính, đặc điểm
478   | charge         | nhiệmvụ,bổnphận,tráchnhiệm;giaonhiệmvụ,giao việc.inchargofphụ trách
479   | charity        | lòng tư thiện, lòng nhân đức; sự bố thí
480   | chart          | đồ thị, biểu đồ; vẽ đồ thị, lập biểu đồ
481   | chase          | săn bắt; sự săn bắt
482   | chat           | nói chuyện, tán gẫu; chuyện phiếm, chuyện gẫu
483   | cheap          | rẻ             
484   | cheaply        | rẻ, rẻ tiền    
485   | cheat          | lưa, lưa đảo; trò lưa đảo, trò gian lận
486   | check          | kiểm tra; sự kiểm tra
487   | cheek          | má             
488   | cheerful       | vui mưng, phấn khởi, hồ hởi
489   | cheerfully     | vui vẻ, phấn khởi
490   | cheese         | pho mát        
491   | chemical       | thuộc hóa học; chất hóa học, hóa chất
492   | chemist        | nhà hóa học    
493   | chemistry      | hóahọc,mônhóahọc,ngànhhóa học
494   | cheque         | séc            
495   | chest          | tủ, rương, hòm 
496   | chew           | nhai, ngẫm nghĩ
497   | chicken        | gà, gà con, thịt gà
498   | chief          | trọngyếu,chínhyếu;thủlĩnh,lãnhtụ,ngườiđứng đầu,xếp
499   | child          | đứa bé, đứa trẻ
500   | chin           | cằm            
501   | chip           | vỏ bào, mảnh vỡ, chỗ sứt, mẻ
502   | chocolate      | sô cô la       
503   | choice         | sự lựa chọn    
504   | choose         | chọn, lựa chọn 
505   | chop           | chặt, đốn, chẻ 
506   | church         | nhà thờ        
507   | cigarette      | điếu thuốc lá  
508   | cinema         | rạp xi nê, rạp chiếu bóng
509   | circle         | đường tròn, hình tròn
510   | circumstance   | hoàn cảnh, trường hợp, tình huống
511   | citizen        | ngườithànhthị  
512   | city           | thành phố      
513   | civil          | (thuộc) công dân
514   | claim          | đòi hỏi, yêu sách; sự đòi hỏi, sự yêu sách, sự thỉnh cầu
515   | clap           | vỗ, vỗ tay; tiếng nổ, tiếng vỗ tay
516   | class          | lớp học        
517   | classic        | cổ điển, kinh điển
518   | classroom      | lớp học, phòng học
519   | clean          | sạch, sạch sẽ; 
520   | clear          | lau chùi, quét dọn
521   | clearly        | rõ ràng, sáng sủa
522   | clerk          | thư ký, linh mục, mục sư
523   | clever         | lanh lợi, thông minh. tài giỏi, khéo léo
524   | click          | làmthànhtiếng lách cách; tiếngláchcách,cúnhắp(chuột)
525   | client         | khách hàng     
526   | climate        | khí hậu, thời tiết
527   | climb          | leo, trèo      
528   | climbing       | sự leo trèo    
529   | clock          | đồng hồ        
530   | close          | đóng kín, chật chội, che đậy
531   | closed         | bảo thủ, không cởi mở, khép kín
532   | closely        | chặt chẽ, kỹ lưỡng, tỉ mỉ
533   | closet         | buồng, phòng để đồ, phòng kho
534   | cloth          | vải, khăn trải bàn, áo thầy tu
535   | clothes        | quần áo        
536   | clothing       | quần áo, y phục
537   | cloud          | mây, đám mây   
538   | club           | câu lạc bộ; gậy, dùi cui
539   | coach          | huấn luyện viên
540   | coal           | than đá        
541   | coast          | sự lao dốc; bờ biển
542   | coat           | áo choàng      
543   | code           | mật mã, luật, điều lệ
544   | coffee         | cà phê         
545   | coin           | tiền kim loại  
546   | cold           | lạnh, sự lạnh lẽo, lạnh nhạt
547   | coldly         | lạnh nhạt, hờ hững, vô tâm
548   | collapse       | đổ, sụp đổ; sự đổ nát, sự sụp đổ
549   | colleague      | bạn đồng nghiệp
550   | collect        | sưu tập, tậptrunglại
551   | collection     | sự sưu tập, sự tụ họp
552   | college        | trường cấo đẳng, trường đại học
553   | color          | màu sắc; tô màu
554   | coloured       | mang màu sắc, có màu sắc
555   | column         | cột , mục (báo)
556   | combination    | sự kết hợp, sự phối hợp
557   | combine        | kết hợp, phối hợp
558   | come           | đến, tới, đi đến, đi tới
559   | comedy         | hài kịch       
560   | comfort        | sự an ủi, khuyên giải, lời động viên, sự an nhàn; dỗ dành, an ủi
561   | comfortable    | thoải mái, tiện nghi, đầy đủ
562   | comfortably    | dễ chịu, thoải mái, tiện nghi, ấm cúng
563   | command        | ra lệnh, chỉ huy; lệnh, mệnh lệnh, quyền ra lệnh, quyền chỉ huy
564   | comment        | lờibìnhluận,lờichúgiải;bìnhluận,phêbình,chúthích,dẫngiải
565   | commercial     | buôn bán, thương mại
566   | commission     | hộiđồng,ủyban,sựủynhiệm,sựủythác;ủynhiệm,ủythác
567   | commit         | giao, gửi, ủy nhiệm, ủy thác; tống giam, bỏ tù
568   | commitment     | sự phạm tội, sự tận tụy, tận tâm
569   | committee      | ủy ban         
570   | common         | công, công cộng, thông thường, phổ biến. in common sự chung, của chung
571   | commonly       | thông thường, bình thường
572   | communicate    | truyền, truyền đạt; giao thiệp, liên lạc
573   | communication  | sự giao tiếp, liên lạc, sự truyền đạt, truyền tin
574   | community      | dân chúng, nhân dân
575   | company        | công ty        
576   | compare        | so sánh, đối chiếu
577   | comparison     | sự so sánh     
578   | compete        | đua tranh, ganh đua, cạnh tranh
579   | competition    | sự cạnh tranh, cuộc thi, cuộc thi đau
580   | competitive    | cạnh tranh, đua tranh
581   | complain       | phàn nàn, kêu ca
582   | complaint      | lời than phiền, than thở; sự khiếu nại, đơn kiện
583   | complete       | hoàn thành, xong;
584   | completely     | hoàn thành, đầy đủ, trọn vẹn
585   | complex        | phức tạp, rắc rối
586   | complicate     | làm phức tạp, rắc rối
587   | complicated    | phức tạp, rắc rối
588   | computer       | máy tính       
589   | concentrate    | tập trung      
590   | concentration  | sự tập trung, nơi tập trung
591   | concept        | khái niệm      
592   | concern        | liên quan, dính líu tới; sự liên quan, sự dính líu tới
593   | concerned      | có liên quan, có dính líu
594   | concerning     | có liên quan, dính líu tới
595   | concert        | buổi hòa nhạc  
596   | conclude       | kếtluận,kếtthúc,chấmdứt(côngviệc)
597   | conclusion     | sự kết thúc, sự kết luận, phần kết luận
598   | concrete       | bằng bê tông; bê tông
599   | condition      | điều kiện, tình cảnh, tình thế
600   | conduct        | điều khiển, chỉ đạo, chỉ huy; sự điều khiển, chỉ huy
601   | conference     | hội nghị, sự bàn bạc
602   | confidence     | lòng tin tưởng, sự tin cậy
603   | confident      | tin tưởng, tin cậy, tự tin
604   | confidently    | tự tin         
605   | confine        | giam giữ, hạn chế
606   | confined       | hạn chế, giới hạn
607   | confirm        | xác nhận, chứng thực
608   | conflict       | xung đột, va chạm; sự xung đột, sự va chạm
609   | confront       | đối mặt, đối diện, đối chiếu
610   | confuse        | làm lộn xộn, xáo trộn
611   | confused       | bối rối, lúng túng, ngượng
